sentence_id,type,lines
1,Source,Control of the activity of CAR-T cells within tumours via focused ultrasound
2,Source,"Yiqian Wu , Yahan Liu, Ziliang Huang, Xin Wang, Zhen Jin, Jiayi Li, Praopim Limsakul, Linshan Zhu, Molly Allen, Yijia Pan, Robert Bussell, Aaron Jacobson, Thomas Liu, Shu Chien , and Yingxiao Wang"
3,Source,Focused ultrasound can deliver energy safely and non-invasively into tissues at depths of centimetres.
4,Source,Here we show that the genetics and cellular functions of chimeric antigen receptor T cells (CAR-T cells) within tumours can be reversibly controlled by the heat generated by short pulses of focused ultrasound via a CAR cassette under the control of a promoter for the heat-shock protein.
5,Source,"In mice with subcutaneous tumours, locally injected T cells with the inducible CAR and activated via focused ultra-sound guided by magnetic resonance imaging mitigated on-target off-tumour activity and enhanced the suppression of tumour growth, compared with the performance of non-inducible CAR-T cells."
6,Source,Acoustogenetic control of the activation of engineered T cells may facilitate the design of safer cell therapies.
7,Source,Optogenetics enables the control of specific molecular events and cellular functions in living systems with high spatio-temporal resolutions.
8,Source,"However, optogenetics cannot reach deep tissues, with the penetration depth of light typically limited at micrometre to millimetre scales."
9,Source,Ultrasound can be focused to deliver mechanical energy safely and non-invasively into small volumes of tissue deep inside the body up to tens of centimetres.
10,Source,The rapidly oscillating pressure of focused ultrasound (FUS) waves and the resultant cycles of mechanical loading/unloading can lead to local heat generation in biological tissues.
11,Source,"Aided by magnetic resonance imaging (MRI) thermometry, FUS has been widely applied clinically to ablate tumours and to control drug delivery, vasodilation, neuromodulation and transgene expression."
12,Source,Transcription factors and genetic circuits have also been engineered to convert the FUS-generated heat into genetic regulation to control micro-bial systems in vivo.
13,Source,"However, there is a lack of general methods using FUS to control mammalian cell functions in vivo for therapeutic applications."
14,Source,"Chimeric antigen receptor (CAR) T-cell therapy, where T cells are genetically programmed with redirected specificity against malignant cells, is becoming a paradigm-shifting approach for cancer treatment, especially for blood cancers."
15,Source,"However, major challenges remain for solid tumours before CAR-based immunotherapy can be widely adopted."
16,Source,"For instance, the non-specific targeting of the CAR-T cells against normal tissues (on-target off-tumour toxicities) can be life-threatening: off-tumour toxicities against the lung, the brain and the heart have caused multiple cases of deaths."
17,Source,"Immunosuppressive corticosteroid therapy and suicide-gene engineering are relatively effective in suppressing off-tumour toxicities and related cytokine release syndrome, but they fail to discriminate between beneficial T-cell functions and toxic side effects."
18,Source,"Synthetic biology and elegant genetic circuits have been used to enhance specificity and reduce off-tumour toxicity by creating chemically inducible dimerization of split CARs, inhibitory CARs and synthetic Notch (SynNotch) to control CAR activation."
19,Source,"However, given the extensive overlaps of antigens between solid tumours and normal tissues, especially those under conditions of tissue injury/inflammation, it remains very difficult to identify ideal antigens and their combinations to differentiate tumours from normal tissues."
20,Source,There is thus an urgent need for high-precision control of CAR-T cells to confine the activation at local sites of solid tumours.
21,Source,"Recently, we demonstrated that ultrasound signals can be amplified by microbubbles coupled to cells engineered with the mechanosensor Piezo1 to precisely control CAR- T-cell activation22."
22,Source,"However, the presence of micro- bubbles as cofactors limits the application of this system in vivo. "
23,Source,Here we have engineered a class of inducible CAR-T cells that can be acoustogenetically and directly controlled by FUS without any exogenous cofactor.
24,Source,We show that short-pulsed FUS stimulation can activate the engineered T cells at the desired time and location to suppress tumour growth in vivo with greater safety than standard CAR-T cells.
25,Source,Results
26,Source,Heat-induced reporter gene activation.
27,Source,"We propose to genetically engineer T cells with inducible CAR cassettes that can be remotely and directly activated without any exogenous cofactor, by MRI-guided FUS at local tumour sites for recognizing and eradicating tumour cells (Fig. 1a)."
28,Source,We first tested the inducible activation of a reporter eGFP under the control of the heat-shock-protein promoter (Hsp).
29,Source,We assembled a dual-promoter reporter construct containing the Hsp-driven eGFP and a constitutive mouse phosphoglycerate kinase 1 promoter (PGK)-driven mCherry (Fig. 1b).
30,Source,HEK293 T cells infected with the reporter lentivirus (Supplementary Fig. 1a) were heated at 43°C for 15 min.
31,Source,Real-time fluorescence imaging revealed that the heat-induced eGFP expression started as early as 2h after heat shock (HS) and persisted throughout the course of observation (Fig. 1c and Supplementary Video 1).
32,Source,"Quantitative tracking of the dynamics of heat-induced eGFP expression by flow cytometry showed that an average of 97% of the cells expressed eGFP at 6h post HS, and the percentage increased to 99% at 12h and remained stable for 2 d, while the mean fluorescence intensity peaked at 12h followed by a steady decrease (Fig. 1d)."
33,Source,We then investigated the inducible effect of HS in primary human T cells hosting the dual-promoter eGFP reporter (Supplementary Fig. 1b).
34,Source,"A 15min HS induced an eGFP expression in an average of 93% of the engineered T cells, in contrast to a background of 4% in control cells without HS (Fig. 1e,f)."
35,Source,The mean fluorescence intensity of the eGFP+ cells in the HS group was tenfold of that in the control group without HS (Fig. 1g).
36,Source,Heat-induced CAR expression and its functionality in Jurkat and primary human T cells.
37,Source,"To convert the transient heat stimulation to sustained gene activation and cellular functions for therapeutic actions, we integrated the Cre–lox gene switch into the inducible system."
38,Source,"The design is composed of two constructs, one containing the Hsp-driven Cre recombinase and the PGK-driven membrane c-Myc tag for cell sorting (‘inducible Cre’, Fig. 2a), and the other containing a lox-flanked ZsGreen-STOP sequence between PGK and an anti-CD19 CAR (‘lox-stop CAR reporter’, Fig. 2a)."
39,Source,"As such, the excision of the STOP cassette mediated by the transiently expressed heat-induced Cre can cause a switch from ZsGreen expression to a sustained CD19CAR production."
40,Source,We first tested this system in Jurkat T-cell lines (Supplementary Fig. 2a).
41,Source,"A 15min HS induced CAR expression in an average of 77% of the cells when measured 24h after HS (day 1), in contrast to an average basal level of 14% in control cells without HS and a minimal leakage of 0.6% in cells infected with the lox-stop CAR reporter alone (Fig. 2b and Supplementary Fig. 2b)."
42,Source,"The heat-induced CAR expression remained stable when measured 6 d after HS (day 6, Fig. 2b and Supplementary Fig. 2b)."
43,Source,We further examined the functionality of the induced CD19CAR in the engineered cells (Fig. 2c).
44,Source,"Engineered Jurkat cells with HS or without (CT, control) HS were co-cultured with CD19-expressing Nalm-6 tumour cells for 24h."
45,Source,"Quantification of the expression level of CD69 (an early T-cell activation marker) revealed an average of 71% CD69+ cell population in the engineered Jurkat cells in the HS group, in contrast to an average of 14% in the CT group (Fig. 2d,e)."
46,Source,These results indicate that the HS-induced CD19CAR is efficient for functional changes in engineered Jurkat T cells. 
47,Source,"We then examined our system in primary human T cells (Fig. 2a,c and Supplementary Fig. 2c)."
48,Source,"Antibody staining showed that a 15min HS induced CAR expression in 29% of the T cells, in contrast to 1.9% in control cells without HS (Fig. 2f)."
49,Source,The heat-inducible CAR-T cells were then co-cultured with firefly luciferase (Fluc)-expressing Nalm-6 cells at different effector-to-target (E:T) ratios for cyto-toxicity assays.
50,Source,The luminescence of the remaining Nalm-6 cells was quantified after a 24 h co-culture.
51,Source,"The heat-stimulated T cells (HS) demonstrated increased cytotoxicity with increased E:T ratio, with the largest contrast in cytotoxicity being observed between the HS and the control (CT) T cells at E:T=1:5, eliminating 82.9% and 29.3% of the target tumour cells, respectively (Fig. 2g)."
52,Source,"The heat-stimulated CAR-T cells also secreted substantially higher concentrations of cytokines interferon-γ (IFN-γ) and interleukin-2 (IL-2) than the control cells (Fig. 2h,i), verifying the functional capability gained by the HS-induced CAR-T cells. "
