sentence_id,type,lines
1,Target,肿瘤治疗：聚焦超声技术精准调控CAR-T细胞
2,Target,"Yiqian Wu , Yahan Liu, Ziliang Huang, Xin Wang, Zhen Jin, Jiayi Li, Praopim Limsakul, Linshan Zhu, Molly Allen, Yijia Pan, Robert Bussell, Aaron Jacobson, Thomas Liu, Shu Chien , and Yingxiao Wang"
3,Target,聚焦超声技术，安全且无创，其超声波可作用于人体深层组织，皮下几厘米内。
4,Target,我们的研究发现，利用CAR（一种嵌合抗原受体）基因盒，聚焦超声技术的短脉冲所产生的热能可以调控肿瘤内CAR-T细胞的基因表达和细胞功能，且具有可逆性。
5,Target,我们通过热休克蛋白的启动因子调控CAR基因盒，从而实现CAR-T细胞的可逆性表达。
6,Target,我们利用磁共振成像技术引导聚焦超声波激活局部注射的带有可诱导CAR的T细胞，缓解带有皮下肿瘤小鼠的非肿瘤靶向毒性，即CAR-T细胞对正常组织进行杀伤。
7,Target,同正常的CAR-T细胞相比，这种CAR-T细胞能有效抑制肿瘤的生长。
8,Target,利用超声波基因表达技术激活改造后的T细胞有望实现更安全的细胞疗法。
9,Target,光遗传学能够以高时空分辨率，捕捉清晰的微观变化，其针对生物体内的特定分子活动，调控细胞功能。
10,Target,但光遗传学不适用于深层组织，其穿透度在微米到毫米之间。
11,Target,超声波可以将机械能定点传递到体内的微小组织，安全且无创，深度可达数十厘米。
12,Target,聚焦超声波的高频振动，会产生一个压力，从而引起机械载荷，即物体表面受力，也会引起机械卸载，即物体表面没有受到力。
13,Target,如此反复，导致生物组织中的受力区域温度升高。
14,Target,借助磁共振成像测温的聚焦超声技术已经广泛应用于临床，用于消除肿瘤，药物递送，舒张血管，神经调控以及转基因表达。
15,Target,通过改造转录因子和基因回路，使得聚焦超声产生的热能用来进行基因调控，以调控生物体内的微生物系统。
16,Target,然而，目前在实际治疗中，不存在利用聚焦超声技术在体内调控哺乳动物细胞功能的通用方法。
17,Target,CAR-T细胞疗法的基本原理是将T细胞进行基因编程，重新定向，使其针对癌细胞。
18,Target,CAR-T细胞疗法有望开创癌症治疗的新时代，尤其是在血癌治疗方面。
19,Target,然而，在将其广泛投入市场使用前，基于CAR技术的免疫疗法仍有尚未解决的几大难题，尤其是对实体瘤的治疗。
20,Target,已有多起死亡案例，是由于CAR-T细胞误击人的肺部、脑部以及心脏。
21,Target,由于CAR-T细胞的非特异性靶向，不会定向作用于异常细胞，导致其攻击正常组织，即出现非肿瘤靶向毒性，严重时会危及生命。
22,Target,免疫抑制性皮质类固醇治疗和自杀基因工程在一定程度上能避免CAR-T细胞攻击正常组织和与之类似的细胞因子释放综合征，即免疫细胞分泌蛋白过多的情况。
23,Target,但这两种治疗方法无法单单剔除T细胞的副作用，保留T细胞的优势。
